timestamp,train_id,train_name,line,component,speed_kmh,ambient_temp_c,vibration_mm_s,bearing_temp_c,door_current_a,door_cycle_s,brake_pressure_bar,brake_temp_c,motor_current_a,motor_temp_c,injected_anomaly,scenario
2026-09-01T00:00:00Z,RG-101,Synthetic set 01,North,bogies,44.609,27.956,2.224,39.8974,,,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-101,Synthetic set 01,North,brakes,44.609,27.956,,,,,4.1351,47.0378,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-101,Synthetic set 01,North,doors,44.609,27.956,,,4.1716,2.7632,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-101,Synthetic set 01,North,motors,44.609,27.956,,,,,,,169.9582,46.9322,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-102,Synthetic set 02,East,bogies,52.166,27.862,2.1817,42.4615,,,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-102,Synthetic set 02,East,brakes,52.166,27.862,,,,,4.0559,48.1431,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-102,Synthetic set 02,East,doors,52.166,27.862,,,4.2666,2.7765,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-102,Synthetic set 02,East,motors,52.166,27.862,,,,,,,169.4809,47.4858,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-103,Synthetic set 03,Circle,bogies,61.543,28.125,2.3228,40.6458,,,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-103,Synthetic set 03,Circle,brakes,61.543,28.125,,,,,4.1393,50.6136,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-103,Synthetic set 03,Circle,doors,61.543,28.125,,,4.3141,2.9069,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-103,Synthetic set 03,Circle,motors,61.543,28.125,,,,,,,182.7499,48.5919,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-104,Synthetic set 04,Harbour,bogies,59.625,27.956,2.0755,41.0383,,,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-104,Synthetic set 04,Harbour,brakes,59.625,27.956,,,,,4.2769,48.5805,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-104,Synthetic set 04,Harbour,doors,59.625,27.956,,,3.8779,2.7333,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-104,Synthetic set 04,Harbour,motors,59.625,27.956,,,,,,,174.0456,45.0402,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-105,Synthetic set 05,North,bogies,54.604,28.1,2.1088,40.6882,,,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-105,Synthetic set 05,North,brakes,54.604,28.1,,,,,4.1467,48.5213,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-105,Synthetic set 05,North,doors,54.604,28.1,,,4.2635,2.7983,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-105,Synthetic set 05,North,motors,54.604,28.1,,,,,,,166.316,48.4973,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-106,Synthetic set 06,East,bogies,50.961,28.175,2.2146,41.2333,,,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-106,Synthetic set 06,East,brakes,50.961,28.175,,,,,4.2361,47.031,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-106,Synthetic set 06,East,doors,50.961,28.175,,,4.1047,2.7498,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-106,Synthetic set 06,East,motors,50.961,28.175,,,,,,,169.5616,47.9668,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-107,Synthetic set 07,Circle,bogies,44.732,27.947,2.0597,40.1218,,,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-107,Synthetic set 07,Circle,brakes,44.732,27.947,,,,,4.2848,46.3433,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-107,Synthetic set 07,Circle,doors,44.732,27.947,,,4.3046,2.8352,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-107,Synthetic set 07,Circle,motors,44.732,27.947,,,,,,,173.2351,45.2283,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-108,Synthetic set 08,Harbour,bogies,33.259,28.157,2.0609,40.4,,,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-108,Synthetic set 08,Harbour,brakes,33.259,28.157,,,,,4.1947,48.3739,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-108,Synthetic set 08,Harbour,doors,33.259,28.157,,,4.2979,2.8815,,,,,0,synthetic_nominal
2026-09-01T00:00:00Z,RG-108,Synthetic set 08,Harbour,motors,33.259,28.157,,,,,,,156.7631,47.4484,0,synthetic_nominal
2026-09-01T00:05:00Z,RG-101,Synthetic set 01,North,bogies,46.708,28.089,2.2377,41.0016,,,,,,,0,synthetic_nominal
